,Rank,Price,6M_Return(%),12M_ex1_Return(%),Volatility(%),MomentumScore,Above_200DMA,Positive_6M,Positive_12M_ex1,SMA_200,Qty,Amount,Allocation(%),Unutilized
ANANDRATHI.NS,1,1396.3109130859375,202.53035663608986,257.0477236684895,37.70169292769472,6.237873683012875,True,True,True,741.5846293640137,2,2792.621826171875,31.46786673903708,540.7115071614585
GVT&D.NS,2,623.1640625,173.24588682767873,318.81363265395726,44.48890216333515,5.856021646712804,True,True,True,312.62987365722654,5,3115.8203125,35.10973718591154,217.51302083333348
BSE.NS,3,741.5192260742188,200.5378873368612,335.7568568976417,50.12574620133877,5.618132578344034,True,True,True,396.87704093933104,4,2966.076904296875,33.42239607505138,367.2564290364585
