,Price,6M_Return(%),12M_ex1_Return(%),Volatility(%),MomentumScore,Above_200DMA,Positive_6M,Positive_12M_ex1,SMA_200
JUSTDIAL.NS,892.8499755859375,14.828627046891384,32.86109413842502,24.199065543000412,1.059442267866767,True,True,True,735.2552499389649
JYOTHYLAB.NS,494.94342041015625,111.89969825963443,129.06894494303333,46.86647428207097,2.6068779305872964,True,True,True,314.1538729095459
KPRMILL.NS,771.8570556640625,20.071708205597204,56.36628580580025,29.328568660292547,1.4263972878253477,True,True,True,692.6743017578125
KNRCON.NS,260.6112976074219,4.982117092582916,3.9350894060086183,28.342691969834434,0.1535621550599367,True,True,True,257.4334214019775
KPITTECH.NS,1522.581298828125,44.91952675756805,118.11051082742496,35.42636213936516,2.5068633413924597,True,True,True,1145.1937020874022
KAJARIACER.NS,1394.4827880859375,7.11581671944348,17.111151577122953,26.724367773285728,0.49049290206721563,True,True,True,1278.106083984375
KALYANKJIL.NS,388.52911376953125,117.45300159451824,164.1379551377045,46.30178168577691,3.140971226445048,True,True,True,212.63861896514894
KANSAINER.NS,332.1099853515625,11.859922084599294,16.353378684727126,18.678823404581056,0.778861019207233,True,True,True,301.3836885070801
KARURVYSYA.NS,141.89059448242188,41.14246575862273,54.47859843001039,26.527383038560536,1.8518836348725758,True,True,True,104.426305809021
KAYNES.NS,2735.300048828125,60.5081717948279,231.51337588743655,37.65618866235373,4.3304432979017635,True,True,True,1877.6877523803712
KEC.NS,613.76806640625,6.288036828004806,29.233496700841766,29.27789806930667,0.6847644957056405,True,True,True,580.9556521606445
KFINTECH.NS,523.1495971679688,39.80467952617386,53.14612808908805,33.27188138429443,1.4365037875077424,True,True,True,404.9653395080566
KIRLOSBROS.NS,926.0733642578125,37.54383121312688,200.4611266396926,45.24555104046312,2.989560514865886,True,True,True,736.1386665344238
KIRLOSENG.NS,678.1466064453125,72.91204587600852,103.99096570071626,39.17093842005339,2.336835243434897,True,True,True,478.61473922729493
KIMS.NS,401.4200134277344,6.715230093499014,26.522131779812817,24.46366694435692,0.7599748393885819,True,True,True,361.2594999694824
LTF.NS,164.77503967285156,27.73523300120926,82.63847043531473,31.839341878877132,1.905131217229778,True,True,True,121.23198539733886
LICHSGFIN.NS,560.6026000976562,50.20148202924861,29.51786160417875,27.36893253973066,1.38030617955489,True,True,True,411.8089436340332
LATENTVIEW.NS,464.95001220703125,27.40101292098911,25.76425127354163,36.355699698210216,0.7264800664297645,True,True,True,397.0185000610352
LAURUSLABS.NS,419.5912780761719,19.45277237577201,2.33028863345357,29.05603836935478,0.3158078171416352,True,True,True,364.2917532348633
LEMONTREE.NS,136.89999389648438,47.68068867674362,52.915081359416895,34.86923335435692,1.4570654053667513,True,True,True,103.45749984741211
LICI.NS,810.8978271484375,34.30236513483005,12.553130395231026,28.237410465933593,0.7523813312622607,True,True,True,627.2232046508789
LODHA.NS,1201.97119140625,77.03468660122836,74.96851385390428,37.41732749080872,2.025124101405515,True,True,True,713.0808923339844
LUPIN.NS,1398.136474609375,50.88770344288,69.8556225832019,23.83134964590577,2.611783974141178,True,True,True,1006.4705340576172
MMTC.NS,69.25,115.73209748227593,61.77657067458016,75.16139912093519,1.1089161885034424,True,True,True,44.75100004196167
MGL.NS,1210.437744140625,15.016593237920617,39.14407177552866,29.656523355679827,0.994153578661209,True,True,True,1013.4867120361328
MAHSEAMLES.NS,960.5039672851562,110.48907765602421,190.70352143822507,39.64458619236535,3.9999848480548055,True,True,True,582.073773803711
M&M.NS,1610.7208251953125,5.209901528662297,37.42085886380726,24.096517659037374,1.0178357685997301,True,True,True,1447.510054321289
MANAPPURAM.NS,165.9878387451172,33.60582594350807,45.609673901582305,39.13790121992526,1.0424092594159897,True,True,True,133.39458351135255
MRPL.NS,166.68630981445312,93.817989167154,130.78292255338124,46.37952687683642,2.500498647180876,True,True,True,89.43389839172363
MASTEK.NS,2871.2060546875,49.44232301546039,51.76387996954885,34.53839175604026,1.4714218116687212,True,True,True,2132.160294189453
MFSL.NS,927.6500244140625,11.933637938348408,38.46885422723636,28.004720118380078,0.9942904156806494,True,True,True,829.7857516479493
MAXHEALTH.NS,725.705322265625,18.499517478942828,60.345473751376154,36.427793827322,1.1967544316501704,True,True,True,574.2372027587891
MAZDOCK.NS,1135.0162353515625,33.826980030344785,157.30768804033727,44.775485950393296,2.4096066514913543,True,True,True,793.8174203491211
METROPOLIS.NS,1555.550048828125,7.587846207672588,20.047935441036113,31.329472219544197,0.4806685844025293,True,True,True,1431.340386352539
MINDACORP.NS,393.9747314453125,32.389505042891486,75.4604763033606,36.5435082322844,1.5930642670227155,True,True,True,313.3714566040039
MSUMI.NS,41.6698112487793,8.512466551440468,6.349213626280381,26.21929713400085,0.27505558991865975,True,True,True,38.8838454914093
MPHASIS.NS,2519.960693359375,37.912296847851465,32.64682895539863,31.680347700768564,1.0966435723750967,True,True,True,2085.2410736083984
MUTHOOTFIN.NS,1414.658447265625,13.001198669323966,39.841004634800115,23.89765840993653,1.2173957712442873,True,True,True,1215.6907376098634
NATCOPHARM.NS,841.5079345703125,27.662636394158913,38.53343400188931,31.006764358112328,1.102149617029803,True,True,True,734.3967962646484
NBCC.NS,60.442447662353516,127.8210688792218,109.48509148386742,50.73746727405498,2.3019766052784667,True,True,True,35.7555958366394
NCC.NS,191.64735412597656,45.63989455319037,89.17298424193316,44.22517854299734,1.6222325924757908,True,True,True,139.9483334350586
NHPC.NS,69.23171997070312,54.88697549023374,72.97548166338252,35.164177428428985,1.8689869671547632,True,True,True,48.223904876708986
NLCINDIA.NS,225.28192138671875,101.63051657516134,155.65102705983347,48.849026599089775,2.7434607726806783,True,True,True,127.49765251159668
NMDC.NS,64.46394348144531,92.06490013130644,66.49961710265488,34.66930637731067,2.2124355510268856,True,True,True,42.01997735977173
NTPC.NS,307.4645690917969,70.25510385139897,82.65345913817418,24.65779275951059,3.1496177133038943,True,True,True,212.5256034851074
NH.NS,1281.2188720703125,25.228410788279266,63.91416329429194,25.597754113645188,1.8916091616982336,True,True,True,1001.346711730957
NATIONALUM.NS,127.31910705566406,63.20234320180531,36.13213688712737,40.15633214380844,1.1691438303319757,True,True,True,86.30889411926269
NAVA.NS,229.49314880371094,52.6809040336522,84.03148438104789,40.226907884141085,1.7767581059643769,True,True,True,173.44183364868164
NESTLEIND.NS,1240.7294921875,11.765927106672747,27.471154003517228,17.735006389938814,1.1940859743388625,True,True,True,1102.8917736816406
NETWORK18.NS,122.8499984741211,93.61701654364143,31.40684642719225,58.399742073714314,0.9637247567834081,True,True,True,69.50249990463257
NEWGEN.NS,850.710205078125,173.71024591342996,289.8445307589194,48.77619092816673,4.988928469105011,True,True,True,447.7134811401367
NAM-INDIA.NS,494.18450927734375,75.38504494384213,83.20268947121924,29.654323313930743,2.6993918186788326,True,True,True,307.2241946411133
OBEROIRLTY.NS,1555.5670166015625,52.16218654368432,74.36250443932386,27.15055851726949,2.410936330320026,True,True,True,1109.6629791259766
ONGC.NS,218.54083251953125,43.851811348854916,41.81444471582416,22.4356379769456,1.8992283227958158,True,True,True,162.23181838989257
