,Price,6M_Return(%),12M_ex1_Return(%),Volatility(%),MomentumScore,Above_200DMA,Positive_6M,Positive_12M_ex1,SMA_200
AMBUJACEM.NS,527.9179077148438,26.070462624322754,-0.279794221637486,29.16866987959531,0.3516372939234512,True,True,False,435.4474176025391
ANANDRATHI.NS,1396.3109130859375,202.53035663608986,257.0477236684895,37.70169292769472,6.237873683012875,True,True,True,741.5846293640137
ANANTRAJ.NS,327.081298828125,79.25663638664864,162.16199228010203,33.526463124259365,3.8465550002917777,True,True,True,206.36154197692872
ANGELONE.NS,3713.7490234375,119.73903498096146,150.91255787812443,47.962871523721,2.885863287354056,True,True,True,1957.3174755859375
APARINDS.NS,5285.1826171875,55.2334560274818,195.05104706406064,38.05049545654853,3.655338927688394,True,True,True,4182.337080078125
APOLLOHOSP.NS,5866.22802734375,12.475430593621194,24.937166007691157,21.617847923851873,0.9225361632055381,True,True,True,4989.0030517578125
APOLLOTYRE.NS,461.9942321777344,10.215484991024336,34.55675138042942,26.7888664429354,0.9261677122619635,True,True,True,386.6599169921875
APTUS.NS,336.10650634765625,32.84615404564206,9.196069993140487,30.740730363661665,0.6066881467045463,True,True,True,270.2464414215088
ASAHIINDIA.NS,559.7355346679688,5.383110469642638,8.084090384954523,34.121793973381656,0.20519573112071812,True,True,True,530.2090785217285
ASHOKLEY.NS,85.67781066894531,3.8280313519185816,20.453631938222404,20.739542128536183,0.6652383757768567,True,True,True,81.03243003845215
ASIANPAINT.NS,3207.38623046875,-3.7318607657760627,8.79661689942617,15.954630778941112,0.23710074387303426,True,False,True,3106.11728515625
ASTERDM.NS,394.83868408203125,29.07596582948342,73.07275076282045,40.27917406544612,1.376896848254399,True,True,True,312.17709747314456
ASTRAZEN.NS,6152.61572265625,65.93498717550443,40.83565081275064,38.7246295655942,1.313434152550717,True,True,True,4110.430101318359
ASTRAL.NS,1795.87890625,-1.8072809438243742,29.601703600017238,21.491905270907264,0.7924000021306798,False,False,True,1813.5008508300782
ATUL.NS,6826.62548828125,4.966460639254322,-11.973828264026132,24.61787417592233,-0.211049994229528,True,True,False,6813.6131982421875
AUROPHARMA.NS,1143.7000732421875,56.87151105508046,137.68143073324467,27.0661617583755,3.8911520695649795,True,True,True,808.3877433776855
DMART.NS,3858.25,1.363508374484712,5.501840357549748,17.554458537720905,0.21899380251677492,True,True,True,3718.571248779297
AXISBANK.NS,1117.6815185546875,17.842112971858313,18.118404606452486,19.20231468058017,0.9373096501910417,True,True,True,979.0280117797852
BASF.NS,2981.7578125,16.94094928634431,6.243006315395427,21.897951932804773,0.48029060571468374,True,True,True,2620.303797607422
BEML.NS,3099.554443359375,99.96772675381231,73.99619724938556,49.793397642739315,1.6943584784412486,True,True,True,1955.9573419189453
BLS.NS,390.68896484375,78.22849830320837,82.02403966962186,42.369149150696984,1.8996564286079454,True,True,True,238.57689430236817
BSE.NS,741.5192260742188,200.5378873368612,335.7568568976417,50.12574620133877,5.618132578344034,True,True,True,396.87704093933104
BAJAJ-AUTO.NS,7064.052734375,49.67766472227104,80.29215570864297,22.500821198964275,3.0228288303060666,True,True,True,4871.621947021485
BAJFINANCE.NS,740.5076293945312,0.6196089723419673,23.047493222972946,20.890548760480385,0.6734913845581257,True,True,True,707.2269714355468
BAJAJFINSV.NS,1630.576416015625,2.460467443481451,17.906001351031307,19.177612440684918,0.6112166286590229,True,True,True,1531.13376953125
BAJAJHLDNG.NS,8136.73046875,12.798945713148724,48.89684345705194,24.97129519303092,1.3793393854576197,True,True,True,6972.5180859375
BALKRISIND.NS,2652.007080078125,12.024934487413642,20.850916740437885,22.643995313530027,0.7645681743777689,True,True,True,2369.390574951172
